DEMAND_ID,DESCRIPTION,CUSTOMER_ID,STATUS,PRIORITY,REQ_DUE_DATE,COMMITTED_DUE_TIME,PRODUCT_ID,LOCATION_ID,QUANTITY,LATE_DEMAND_PENALTY,SHORT_DEMAND_PENALTY,REVENUE,ALLOCATION_S,DM_SPEC_S,ASSY_LOC_S,FAB_LOC_S,DEMAND_ID_S,WIRE_COLOR_S
HWHG2773528-11_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,6/8/24,6/8/24,TR-FC13T-N00@888,VIRTUAL,703,-,-,0,-,-,-,-,-,-
HWHG2773528-11_2,100G QSFP28 CWDM4 Gen3.0,100023,1,100,6/22/24,6/22/24,TR-FC13T-N00@888,VIRTUAL,686,-,-,0,-,-,-,-,-,-
HWHG2773528-11_3,100G QSFP28 CWDM4 Gen3.0,100023,1,100,7/6/24,7/6/24,TR-FC13T-N00@888,VIRTUAL,680,-,-,0,-,-,-,-,-,-
HWHG2773528-17_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,4/20/24,4/20/24,TR-FC13T-N00@888,VIRTUAL,559,-,-,0,-,-,-,-,-,-
HWHG2773528-20_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,5/4/24,5/4/24,TR-FC13T-N00@888,VIRTUAL,1086,-,-,0,-,-,-,-,-,-
HWHG2773528-21_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,5/18/24,5/18/24,TR-FC13T-N00@888,VIRTUAL,1091,-,-,0,-,-,-,-,-,-
HWHG2773528-22_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,6/8/24,6/8/24,TR-FC13T-N00@888,VIRTUAL,1123,-,-,0,-,-,-,-,-,-
HWHG2773528-22_2,100G QSFP28 CWDM4 Gen3.0,100023,1,100,6/22/24,6/22/24,TR-FC13T-N00@888,VIRTUAL,1103,-,-,0,-,-,-,-,-,-
HWHG2773528-22_3,100G QSFP28 CWDM4 Gen3.0,100023,1,100,7/6/24,7/6/24,TR-FC13T-N00@888,VIRTUAL,1083,-,-,0,-,-,-,-,-,-
HWHG2773528-22_4,100G QSFP28 CWDM4 Gen3.0,100023,1,100,7/20/24,7/20/24,TR-FC13T-N00@888,VIRTUAL,966,-,-,0,-,-,-,-,-,-
HWHG2773528-22_5,100G QSFP28 CWDM4 Gen3.0,100023,1,100,5/25/24,5/25/24,TR-FC13T-N00@888,VIRTUAL,571,-,-,0,-,-,-,-,-,-
CH00086381_1,100G QSFP28 CWDM4 Gen3.0,100023,1,100,2/22/24,2/22/24,TR-FC13T-N00@888,VIRTUAL,30,-,-,0,-,-,-,-,-,-
CH00086381_2,100G QSFP28 CWDM4 Gen3.0,100023,1,100,2/22/24,2/22/24,TR-FC13T-N00@888,VIRTUAL,70,-,-,0,-,-,-,-,-,-
111596313_10,100G QSFP28 CWDM4 Gen3.0,100217,1,100,1/18/24,1/18/24,TR-FC13T-N00-H3C@858,VIRTUAL,1370,-,-,0,-,-,-,-,-,-
2305POSC00024884_10,100G QSFP28 SR4 Gen3.0,100042,1,100,9/11/23,9/11/23,TR-FC85S-NZT@828,VIRTUAL,13,-,-,0,-,-,-,-,-,-
